i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1607,1483,14.197572488199595,12.049546826870504,602
1,1935,1811,14.869133075648813,12.07454264507594,599
2,1892,1768,15.239819004524886,11.962524361835678,575
3,1918,1794,15.055183946488294,12.928487311495033,604
4,1901,1777,14.964546989307822,11.908504275993211,570
5,1974,1850,14.760540540540541,11.88987576275555,615
6,1913,1789,14.779765231973169,12.208667107596202,603
7,1945,1821,14.516749038989566,11.164998338272865,613
8,1877,1753,14.60467769537935,12.292987293182978,621
9,1929,1805,15.145152354570637,12.504757434464437,608
