i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2581,2314,10.238547968885047,27.37861811944046,421
1,2545,2275,8.85934065934066,14.095077295313931,353
2,2619,2358,9.13952502120441,31.65161753205135,384
3,2632,2357,8.260924904539669,16.771930041849206,492
4,2546,2285,9.290153172866521,29.12381047013576,333
5,2613,2347,9.285896889646358,29.051085304802246,363
6,2540,2268,8.994268077601411,25.605514706227158,384
7,2600,2328,7.8423539518900345,13.13852222589041,396
8,2563,2299,8.89734667246629,22.07326735478538,425
9,2570,2296,9.043554006968641,18.900984947042776,400
