i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2186,2078,8.236766121270453,5.467882911717622,0
1,2226,2118,8.244570349386214,5.747081722765757,0
2,2221,2113,8.375769048745859,5.6616058727076535,0
3,2214,2106,8.125356125356126,5.3884661911454685,0
4,2193,2085,8.108872901678657,5.541571076926884,0
5,2193,2085,8.308872901678656,5.759325077502954,0
6,2240,2132,8.195590994371482,5.368129080877438,0
7,2213,2105,8.311163895486937,5.622874373711762,0
8,2217,2109,8.164058795637743,5.39045552276135,0
9,2203,2095,8.255847255369929,5.529908520398162,0
