i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1780,1607,3.372121966397013,2.418744353271086,0
1,1771,1598,3.3335419274092617,3.0310473281216566,0
2,1735,1562,3.4513444302176697,3.5883580943805073,0
3,1813,1640,3.424390243902439,2.5669836610314407,0
4,1772,1599,3.190118824265166,1.8647521916731553,0
5,1777,1604,3.266832917705736,1.8714610011476793,0
6,1769,1596,3.2869674185463658,2.1836956962166894,0
7,1863,1690,3.5940828402366862,2.886977579309087,0
8,1768,1595,3.219435736677116,2.0701184210615073,0
9,1765,1592,3.423994974874372,3.282242786345559,0
