i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,492,471,3.9426751592356686,0.9811949789021811,0
1,490,469,3.929637526652452,0.9649265451229998,0
2,474,453,4.006622516556291,0.9821588741004385,0
3,478,457,3.9934354485776806,0.9977878226605815,0
4,483,462,3.963203463203463,0.9895279154219255,0
5,489,468,3.950854700854701,0.9561649471919506,0
6,474,453,4.0,0.9467033540756584,0
7,472,451,4.013303769401331,0.9853923969753542,0
8,493,472,3.9385593220338984,0.9733941799352118,0
9,480,459,4.0,0.9701425001453319,0
