i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1603,1521,3.9730440499671267,0.9627837426993741,0
1,1636,1554,3.9375804375804377,0.9358253992560417,0
2,1655,1573,3.951684678957406,0.9522376483018617,0
3,1656,1574,3.9580686149936466,0.9555670258585982,0
4,1671,1589,3.9446192573945877,0.9476965199511147,0
5,1646,1564,3.9085677749360612,0.9521563868653624,0
6,1663,1581,3.995572422517394,0.9704583340951917,0
7,1632,1550,3.9812903225806453,0.9518936709917183,0
8,1628,1546,3.9747736093143597,0.959738055426818,0
9,1650,1568,3.936224489795918,0.9648220892423877,0
